# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
xing ren 	星人	c=1 d=1.87819e-33 t=25120
xing ren 	行人	c=0 d=1.1431e-45 t=25120
xing ren tian qiao 	行人天橋	c=1 d=1.14883e-44 t=25120
xing shi 	形式	c=1 d=2.48509e-33 t=25120
xing shi zou rou 	行屍走肉	c=1 d=1.13157e-13 t=25120
xing tai 	形態	c=1 d=1.86305e-26 t=25120
xing yun 	幸運	c=1 d=4.3528e-39 t=25120
xiong 	兇	c=1 d=8.25667e-12 t=25120
xiong can 	兇殘	c=1 d=7.98762e-34 t=25120
xiong dao 	熊島	c=1 d=0.0147723 t=25120
xiong di 	兄弟	c=5 d=0.000452882 t=25120
xiong huai da zhi 	胸懷大志	c=1 d=3.2853e-23 t=25120
xiong ji 	胸肌	c=1 d=1.51252e-15 t=25120
xiong mao 	熊貓	c=1 d=6.35637e-23 t=25120
xiong qi 	胸器	c=1 d=2.04412e-29 t=25120
xiong qian 	胸前	c=1 d=3.74063e-50 t=25120
xiong xin 	雄心	c=2 d=1.88051e-18 t=25120
xiu 	修	c=3 d=3.51931e-09 t=25120
xiu 	秀	c=2 d=0.0303487 t=25120
xiu fu 	修復	c=2 d=2.77532e-18 t=25120
xiu gai 	修改	c=7 d=0.135335 t=25120
xiu xi 	休息	c=1 d=1.81014e-40 t=25120
xiu xian 	休閒	c=1 d=4.57208e-29 t=25120
xiu zheng 	修正	c=1 d=1.32787e-42 t=25120
xu 	續	c=1 d=4.35058e-33 t=25120
xu 	需	c=2 d=6.2867e-11 t=25120
xu chuan 	續傳	c=1 d=1.68432e-16 t=25120
xu fei 	續費	c=3 d=4.51712e-19 t=25120
xu gou 	虛構	c=0 d=7.11263e-23 t=25120
xu gou de 	虛構的	c=1 d=7.14828e-22 t=25120
xu jing 	虛驚	c=1 d=7.52783e-13 t=25120
xu ke zheng 	許可證	c=1 d=6.08184e-33 t=25120
xu lie hao 	序列號	c=1 d=5.90511e-39 t=25120
xu ni 	虛擬	c=1 d=7.4029e-22 t=25120
xu ni ji 	虛擬機	c=3 d=2.43257e-17 t=25120
xu qiu 	需求	c=4 d=0.295942 t=25120
xu ru 	需如	c=1 d=1.68398e-43 t=25120
xu wang 	虛妄	c=1 d=4.13136e-13 t=25120
xu xu 	噓噓	c=1 d=2.45526e-38 t=25120
xu yao 	需要	c=26 d=0.000498005 t=25120
xuan 	選	c=2 d=1.11222e-16 t=25120
xuan bu 	宣佈	c=1 d=8.61441e-11 t=25120
xuan cheng 	宣稱	c=1 d=2.19084e-21 t=25120
xuan feng 	旋風	c=5 d=1.87113e-14 t=25120
xuan fu 	炫富	c=1 d=7.05385e-42 t=25120
xuan ge 	選個	c=1 d=0.0780817 t=25120
xuan hao 	選號	c=1 d=3.29033e-41 t=25120
xuan shou 	選手	c=1 d=2.23244e-07 t=25120
xuan xiang 	選項	c=1 d=3.74139e-23 t=25120
xuan xuan 	宣宣	c=1 d=0.313486 t=25120
xuan xue 	玄學	c=1 d=2.05618e-10 t=25120
xuan yun 	懸雲	c=1 d=7.47985e-26 t=25120
xuan ze 	選擇	c=9 d=0.00016826 t=25120
xuan ze xing 	選擇性	c=1 d=2.72616e-34 t=25120
xuan zhuan 	旋轉	c=1 d=2.27429e-49 t=25120
xue 	學	c=6 d=6.80798e-07 t=25120
xue 	血	c=1 d=7.10998e-47 t=25120
xue 	雪	c=1 d=1.49127e-25 t=25120
xue bi 	血幣	c=3 d=1.37495e-14 t=25120
xue di kai 	薛迪凱	c=1 d=7.86335e-26 t=25120
xue dian 	學點	c=1 d=7.37876e-13 t=25120
xue fei 	學費	c=1 d=1.20547e-22 t=25120
xue guo 	雪國	c=0 d=1.12031e-14 t=25120
xue guo lie che 	雪國列車	c=1 d=1.12593e-13 t=25120
xue hui 	學會	c=1 d=9.69063e-43 t=25120
xue li 	學歷	c=1 d=6.42811e-08 t=25120
xue sheng 	學生	c=0 d=7.4014e-50 t=25120
xue sheng you hui 	學生優惠	c=1 d=7.4385e-49 t=25120
xue sheng zheng 	學生證	c=1 d=9.35414e-39 t=25120
xue wu bu shu 	學無不術	c=1 d=1.56283e-47 t=25120
xue xiao 	學校	c=11 d=0.0079766 t=25120
xun 	訓	c=8 d=1.26531e-06 t=25120
xun 	迅	c=1 d=5.38677e-17 t=25120
xun huan 	循環	c=1 d=8.35839e-09 t=25120
xun lei 	迅雷	c=19 d=0.000296045 t=25120
xun lian ying 	訓練營	c=1 d=1.43924e-19 t=25120
xun qiu 	尋求	c=1 d=2.97883e-18 t=25120
xun zu 	尋租	c=2 d=0.269375 t=25120
ya 	亞	c=2 d=0.970446 t=25120
ya 	呀	c=3 d=5.38244e-24 t=25120
ya 	壓	c=1 d=2.66292e-52 t=25120
ya 	牙	c=2 d=1.84928e-27 t=25120
ya 	鴨	c=1 d=7.8188e-19 t=25120
ya de 	壓得	c=1 d=9.49258e-06 t=25120
ya gao 	牙膏	c=1 d=0.000678925 t=25120
ya gen 	牙根	c=1 d=5.78111e-54 t=25120
ya hei 	雅黑	c=1 d=3.40869e-45 t=25120
ya li 	壓力	c=0 d=6.46892e-54 t=25120
ya li da 	壓力大	c=1 d=6.33113e-35 t=25120
ya tai 	亞太	c=1 d=8.26484e-53 t=25120
ya ya 	壓壓	c=0 d=4.8255e-47 t=25120
ya ya jing 	壓壓驚	c=7 d=0.195028 t=25120
ya yun 	押韻	c=1 d=5.07464e-50 t=25120
ya zha 	壓榨	c=1 d=9.58931e-37 t=25120
ya zhou bei 	亞洲盃	c=1 d=1.02759e-26 t=25120
yan 	啱	c=3 d=2.45997e-28 t=25120
yan 	嚴	c=3 d=1.43851e-13 t=25120
yan 	眼	c=1 d=6.60207e-28 t=25120
yan 	顏	c=0 d=4.34156e-39 t=25120
yan bu jian wei gan jing 	眼不見爲乾淨	c=1 d=8.32351e-48 t=25120
yan chang 	延長	c=1 d=1.1812e-18 t=25120
yan er dao ling 	掩耳盜鈴	c=1 d=2.06466e-29 t=25120
yan ge 	閹割	c=1 d=2.10237e-36 t=25120
yan guang 	眼光	c=1 d=2.50137e-51 t=25120
yan hui 	宴會	c=1 d=2.87091e-25 t=25120
yan ji 	演技	c=1 d=8.51219e-47 t=25120
yan jiang 	沿江	c=1 d=5.17715e-50 t=25120
yan jiang 	演講	c=1 d=0.704688 t=25120
yan jie 	眼界	c=1 d=2.87384e-37 t=25120
yan jin 	嚴禁	c=1 d=1.57527e-52 t=25120
yan jin 	嚴謹	c=1 d=1.58316e-52 t=25120
yan jing 	眼睛	c=2 d=5.08256e-30 t=25120
yan jiu 	研究	c=2 d=9.88839e-16 t=25120
yan jiu xia 	研究下	c=1 d=4.91194e-49 t=25120
yan ke 	眼科	c=1 d=3.60142e-45 t=25120
yan mu 	煙幕	c=1 d=3.7087e-08 t=25120
yan se 	顏色	c=1 d=9.25318e-29 t=25120
yan shen 	眼神	c=1 d=5.68033e-53 t=25120
yan sheng 	嚴生	c=3 d=0.000213507 t=25120
yan wen zi 	顏文字	c=1 d=4.36332e-38 t=25120
yan wu 	延誤	c=1 d=1.55911e-19 t=25120
yan xi 	沿襲	c=1 d=6.01826e-27 t=25120
yan xue 	驗血	c=1 d=9.90186e-32 t=25120
yan xun 	眼瞓	c=1 d=9.26737e-47 t=25120
yan zhao 	豔照	c=1 d=1.42192e-53 t=25120
yan zhen bo 	嚴鎮波	c=17 d=1.76102e-18 t=25120
yan zheng 	驗證	c=2 d=0.0229371 t=25120
yan zheng ma 	驗證碼	c=2 d=7.96997e-08 t=25120
yan zhi 	顏值	c=1 d=1.72039e-30 t=25120
yan zhong 	嚴重	c=2 d=0.0520787 t=25120
yang 	楊	c=1 d=4.64118e-29 t=25120
yang 	樣	c=2 d=0.00534407 t=25120
yang 	洋	c=0 d=9.00938e-10 t=25120
yang cheng 	羊城	c=0 d=3.85993e-38 t=25120
yang cheng tong 	羊城通	c=1 d=3.87928e-37 t=25120
yang da ren 	洋大人	c=1 d=9.05454e-09 t=25120
yang gou 	養狗	c=2 d=6.9758e-21 t=25120
yang jia 	養家	c=1 d=7.26249e-32 t=25120
yang ming 	揚名	c=1 d=4.0711e-46 t=25120
yang yang 	羊羊	c=0 d=4.33196e-13 t=25120
yang zhu 	養豬	c=1 d=0.00282287 t=25120
yang zi 	樣子	c=2 d=6.16431e-15 t=25120
yao 	咬	c=4 d=2.13232e-26 t=25120
yao 	妖	c=2 d=0.0575558 t=25120
yao 	藥	c=3 d=1.73913e-40 t=25120
yao 	要	c=159 d=2.59519 t=25120
yao bei nve 	要被虐	c=1 d=5.33681e-25 t=25120
yao bu 	要不	c=2 d=4.51832e-27 t=25120
yao bu yao 	要不要	c=1 d=1.37708e-29 t=25120
yao chu 	要出	c=0 d=1.91151e-35 t=25120
yao chu shi 	要出事	c=1 d=1.92109e-34 t=25120
yao feng de feng 	要風得風	c=1 d=3.74788e-14 t=25120
yao gui 	要跪	c=1 d=2.35258e-06 t=25120
yao lian 	要臉	c=1 d=1.70827e-35 t=25120
yao mai 	要買	c=1 d=5.94501e-30 t=25120
yao me 	要麼	c=2 d=2.01347e-20 t=25120
yao mie 	要咩	c=1 d=1.02706e-20 t=25120
yao qing 	邀請	c=3 d=4.25704e-42 t=25120
yao qiu 	要求	c=9 d=0.807288 t=25120
yao sai 	要塞	c=2 d=6.81262e-15 t=25120
yao shi 	要是	c=1 d=3.92573e-30 t=25120
yao tong 	腰痛	c=0 d=5.42409e-11 t=25120
yao tuo 	要脫	c=1 d=0.00100276 t=25120
yao wan 	藥丸	c=6 d=6.29975e-06 t=25120
yao wan 	要玩	c=2 d=5.07048e-11 t=25120
yao xue 	藥學	c=0 d=6.31263e-31 t=25120
yao xue yuan 	藥學院	c=1 d=6.34427e-30 t=25120
yao yong 	要用	c=1 d=3.90283e-20 t=25120
yao yu de yu 	要雨得雨	c=1 d=3.76667e-14 t=25120
ye 	也	c=72 d=0.236463 t=25120
ye 	夜	c=1 d=1.77798e-35 t=25120
ye 	業	c=1 d=4.96992e-40 t=25120
ye 	液	c=1 d=1.23357e-13 t=25120
ye 	爺	c=2 d=3.92038e-43 t=25120
ye 	野	c=1 d=5.34863e-51 t=25120
ye hui 	也會	c=2 d=1.20593e-36 t=25120
ye man 	野蠻	c=1 d=1.03989e-19 t=25120
ye mian 	頁面	c=4 d=1.68812e-29 t=25120
ye ren 	野人	c=2 d=0.000304591 t=25120
ye sheng 	野生	c=1 d=2.15742e-46 t=25120
ye shi 	也是	c=27 d=7.94939e-07 t=25120
ye shu 	野鼠	c=1 d=2.66066e-42 t=25120
ye su 	耶穌	c=1 d=1.64324e-49 t=25120
ye tian mei 	野田妹	c=1 d=1.01246e-28 t=25120
ye wai 	野外	c=1 d=6.43249e-16 t=25120
ye xiang 	也想	c=1 d=8.92884e-21 t=25120
ye zai 	也在	c=1 d=1.72755e-20 t=25120
yi 	一	c=28 d=0.839026 t=25120
yi 	以	c=6 d=0.324943 t=25120
yi 	億	c=4 d=0.00148106 t=25120
yi 	已	c=21 d=0.295313 t=25120
yi 	怡	c=1 d=1.73863e-07 t=25120
yi 	移	c=1 d=0.000446085 t=25120
yi 	翼	c=0 d=8.71432e-30 t=25120
yi 	衣	c=1 d=1.56124e-35 t=25120
yi 	誼	c=1 d=2.84234e-25 t=25120
yi ba 	一把	c=2 d=6.3019e-10 t=25120
yi ban 	一半	c=3 d=2.74738e-37 t=25120
yi ban 	一版	c=1 d=9.52819e-50 t=25120
yi ban 	一般	c=13 d=0.00439901 t=25120
yi ban ren 	一般人	c=1 d=4.35961e-28 t=25120
yi bei 	已備	c=1 d=2.20175e-50 t=25120
yi bei bu shi zhi xu 	以備不時之需	c=1 d=7.49028e-13 t=25120
yi bi qian 	一筆錢	c=1 d=2.10895e-14 t=25120
yi bian 	一遍	c=1 d=1.73591e-18 t=25120
yi bing 	一餅	c=1 d=2.39301e-30 t=25120
yi bing yi zu 	一兵一卒	c=1 d=1.71688e-06 t=25120
yi bu 	一步	c=2 d=1.15761e-16 t=25120
yi bu 	一部	c=2 d=4.54062e-36 t=25120
yi bu 	伊布	c=1 d=9.73786e-12 t=25120
yi bu fen 	一部分	c=1 d=4.8347e-39 t=25120
yi chang 	一場	c=6 d=2.42422e-06 t=25120
yi chuan 	遺傳	c=1 d=1.354e-36 t=25120
yi ci 	一次	c=21 d=0.59153 t=25120
yi ci guo 	一次過	c=1 d=1.56235e-14 t=25120
yi da 	一大	c=0 d=5.19143e-54 t=25120
yi da 	一打	c=2 d=8.93644e-29 t=25120
yi da bo 	一大波	c=1 d=5.21746e-53 t=25120
yi da dui 	一大堆	c=1 d=2.28382e-10 t=25120
yi da li 	意大利	c=2 d=7.1229e-07 t=25120
yi da li ren 	意大利人	c=1 d=1.35515e-46 t=25120
yi dai 	一帶	c=3 d=3.61209e-21 t=25120
yi dao 	一刀	c=1 d=1.00813e-07 t=25120
yi dao 	一道	c=1 d=2.57588e-14 t=25120
yi dao 	已到	c=1 d=1.9119e-07 t=25120
yi deng 	一等	c=1 d=9.09992e-09 t=25120
yi dian 	一點	c=7 d=1.8692e-06 t=25120
yi ding 	一定	c=13 d=0.183652 t=25120
yi ding neng 	一定能	c=0 d=7.98057e-54 t=25120
yi dong 	移動	c=20 d=5.00862e-16 t=25120
yi dong ban 	移動版	c=1 d=3.39585e-30 t=25120
yi dong duan 	移動端	c=2 d=3.49023e-29 t=25120
yi dong jun 	移動君	c=1 d=5.42207e-35 t=25120
yi duan 	一段	c=2 d=7.3041e-11 t=25120
yi duan 	異端	c=1 d=8.71877e-35 t=25120
yi dui 	一堆	c=7 d=4.02798e-09 t=25120
yi dui 	一對	c=1 d=4.75219e-13 t=25120
yi dui ren 	一堆人	c=1 d=7.59289e-26 t=25120
yi dun 	一頓	c=1 d=3.90615e-30 t=25120
yi e chuan e 	以訛傳訛	c=1 d=4.51014e-45 t=25120
yi fa 	一發	c=4 d=0.612626 t=25120
yi fen 	一份	c=1 d=3.48489e-11 t=25120
yi fen qian yi fen huo 	一分錢一分貨	c=1 d=8.00966e-37 t=25120
yi fu 	一幅	c=1 d=0.272532 t=25120
yi ge 	一個	c=81 d=0.873716 t=25120
yi ge yang 	一個樣	c=1 d=7.93562e-16 t=25120
yi ge yue 	一個月	c=1 d=3.24697e-32 t=25120
yi gei 	泄給	c=1 d=2.1147e-46 t=25120
yi gen 	一根	c=1 d=5.86867e-25 t=25120
yi gua 	已掛	c=1 d=1.71834e-16 t=25120
yi gui 	衣櫃	c=2 d=3.94029e-07 t=25120
yi guo 	一鍋	c=2 d=0.0430669 t=25120
yi guo 	已過	c=1 d=3.9387e-10 t=25120
yi guo liang zhi 	一國兩制	c=1 d=4.94261e-34 t=25120
yi hou 	以後	c=9 d=0.00978994 t=25120
yi hou zhi fa 	以後植髮	c=1 d=1.52663e-36 t=25120
yi hui 	一會	c=4 d=5.63645e-08 t=25120
yi ji 	一集	c=1 d=0.0144798 t=25120
yi jia 	一家	c=1 d=1.24681e-31 t=25120
yi jia 	宜家	c=34 d=0.818731 t=25120
yi jia qin 	一家親	c=1 d=1.24926e-30 t=25120
yi jian 	一間	c=2 d=2.51707e-07 t=25120
yi jian shi 	一件事	c=1 d=3.11594e-18 t=25120
yi jie 	一屆	c=1 d=3.62711e-11 t=25120
yi jing 	已經	c=42 d=1.42534 t=25120
yi ju 	一句	c=6 d=0.00029572 t=25120
yi ju hua 	一句話	c=1 d=2.3545e-45 t=25120
yi kao 	藝考	c=1 d=1.1325e-52 t=25120
yi ke 	一顆	c=1 d=5.32122e-20 t=25120
yi kou 	一口	c=3 d=0.359912 t=25120
yi kou bing 	一口餅	c=1 d=8.65436e-36 t=25120
yi liang 	一兩	c=0 d=5.18614e-42 t=25120
yi liang ge 	一兩個	c=1 d=5.21213e-41 t=25120
yi lu 	一路	c=2 d=0.226502 t=25120
yi ma 	姨媽	c=0 d=5.93389e-09 t=25120
yi ma jin 	姨媽巾	c=1 d=5.96364e-08 t=25120
yi min 	移民	c=3 d=0.00540733 t=25120
yi ming 	一名	c=1 d=7.37476e-36 t=25120
yi nian 	一年	c=7 d=0.0120946 t=25120
yi nian 	一念	c=1 d=5.13557e-14 t=25120
yi nian yi du 	一年一度	c=1 d=6.3432e-28 t=25120
yi pi 	一匹	c=0 d=7.74101e-19 t=25120
yi pi 	一批	c=1 d=7.05648e-17 t=25120
yi pi ma 	一匹馬	c=1 d=7.77981e-18 t=25120
yi pian 	一篇	c=1 d=5.17996e-27 t=25120
yi qi 	一起	c=4 d=0.527292 t=25120
yi qi shu 	一起輸	c=1 d=7.53399e-52 t=25120
yi qian 	以前	c=2 d=2.31031e-28 t=25120
yi qie 	一切	c=2 d=0.13068 t=25120
yi qun 	一羣	c=2 d=5.42409e-10 t=25120
yi ran 	依然	c=3 d=1.37236e-18 t=25120
yi ran shi 	依然是	c=1 d=1.08027e-26 t=25120
yi ren 	一人	c=1 d=1.69772e-21 t=25120
yi ri 	一日	c=4 d=0.12307 t=25120
yi ri you 	一日遊	c=1 d=1.26006e-43 t=25120
yi shan 	已刪	c=4 d=0.15259 t=25120
yi shang 	以上	c=1 d=1.92305e-46 t=25120
yi shang men 	一上門	c=1 d=3.0322e-21 t=25120
yi shen han 	一身汗	c=1 d=7.2751e-23 t=25120
yi sheng 	一生	c=5 d=1.75467e-08 t=25120
yi sheng 	醫生	c=4 d=4.74234e-18 t=25120
yi sheng hei 	一生黑	c=1 d=3.84525e-51 t=25120
yi shi 	一試	c=1 d=1.20216e-19 t=25120
yi shi 	意識	c=4 d=0.328178 t=25120
yi shou 	一手	c=1 d=7.47094e-12 t=25120
yi shu 	藝術	c=0 d=1.06123e-53 t=25120
yi shu sheng 	藝術生	c=1 d=1.06655e-52 t=25120
yi si 	意思	c=11 d=0.0376941 t=25120
yi si si 	一絲絲	c=1 d=0.000251014 t=25120
yi si tan bu er 	伊斯坦布爾	c=1 d=0.0450492 t=25120
yi tai 	一臺	c=1 d=1.22286e-14 t=25120
yi tang 	一趟	c=1 d=1.3352e-48 t=25120
yi tao 	一套	c=7 d=0.000241172 t=25120
yi tian 	一天	c=2 d=3.38821e-25 t=25120
yi tian si ji 	一天四季	c=1 d=3.94742e-36 t=25120
yi tiao 	一條	c=5 d=8.23428e-05 t=25120
yi tuo 	一拖	c=1 d=4.52581e-27 t=25120
yi wa 	伊娃	c=1 d=3.15369e-42 t=25120
yi wan 	一晚	c=2 d=1.89513e-21 t=25120
yi wan 	一碗	c=1 d=5.35517e-36 t=25120
yi wan 	一萬	c=2 d=1.19575e-15 t=25120
yi wan 	億萬	c=1 d=6.29848e-33 t=25120
yi wei 	以爲	c=14 d=0.438235 t=25120
yi wu 	義務	c=1 d=1.85243e-47 t=25120
yi xia 	一下	c=25 d=0.186374 t=25120
yi xia 	以下	c=2 d=5.06285e-49 t=25120
yi xian 	一線	c=2 d=2.49975e-14 t=25120
yi xiang 	一向	c=1 d=0.00463092 t=25120
yi xiang 	一想	c=0 d=2.30356e-24 t=25120
yi xiang 	一項	c=1 d=1.43524e-45 t=25120
yi xiang dao 	一想到	c=1 d=2.31511e-23 t=25120
yi xiao pian 	一小片	c=1 d=1.80922e-34 t=25120
yi xing 	異性	c=1 d=7.18289e-20 t=25120
yi yan bu he 	一言不合	c=1 d=0.00169512 t=25120
yi yang 	一樣	c=13 d=0.00426645 t=25120
yi yang ma 	一樣嘛	c=1 d=3.93857e-39 t=25120
yi ye 	一夜	c=1 d=1.22598e-44 t=25120
yi yin 	意淫	c=1 d=2.09587e-29 t=25120
yi you 	已有	c=2 d=0.383141 t=25120
yi yuan 	意願	c=1 d=3.60081e-43 t=25120
yi yuan 	醫院	c=5 d=4.6043e-31 t=25120
yi zao 	一早	c=1 d=7.51454e-51 t=25120
yi ze 	一則	c=1 d=3.30008e-17 t=25120
yi zha yan 	一眨眼	c=1 d=4.753e-15 t=25120
yi zhang 	一張	c=2 d=3.77706e-17 t=25120
yi zhen 	一陣	c=8 d=1.15695e-07 t=25120
yi zhen zi 	一陣子	c=2 d=1.20833e-39 t=25120
yi zheng tian 	一整天	c=1 d=3.49201e-35 t=25120
yi zhi 	一直	c=17 d=3.08179e-06 t=25120
yi zhi 	一紙	c=2 d=7.84038e-21 t=25120
yi zhi 	一致	c=1 d=3.86873e-05 t=25120
yi zhi 	一隻	c=0 d=7.8188e-19 t=25120
yi zhi ya 	一隻鴨	c=1 d=7.858e-18 t=25120
yi zhi zhang 	一直長	c=1 d=1.20089e-36 t=25120
yi zhong 	一種	c=1 d=2.1308e-47 t=25120
yi zhou 	一週	c=1 d=1.78234e-05 t=25120
yi zhuo 	衣着	c=1 d=0.131994 t=25120
yin 	因	c=1 d=3.12231e-42 t=25120
yin 	銀	c=0 d=2.81597e-34 t=25120
yin 	飲	c=8 d=1.29039e-47 t=25120
yin cang 	隱藏	c=3 d=3.05268e-12 t=25120
yin dao 	引導	c=1 d=1.47945e-49 t=25120
yin hang 	銀行	c=7 d=0.304221 t=25120
yin huan 	隱患	c=1 d=1.48434e-29 t=25120
yin mou lun 	陰謀論	c=1 d=9.93627e-14 t=25120
yin ru 	引入	c=2 d=2.28453e-43 t=25120
yin si 	隱私	c=4 d=1.27519e-07 t=25120
yin wei 	因爲	c=19 d=0.377193 t=25120
yin xing 	隱形	c=1 d=8.06953e-07 t=25120
yin ying 	陰影	c=0 d=1.00119e-15 t=25120
yin yue 	音樂	c=9 d=0.0156921 t=25120
yin zhan 	引戰	c=1 d=1.11974e-07 t=25120
ying 	影	c=1 d=4.59906e-10 t=25120
ying 	應	c=0 d=1.07969e-50 t=25120
ying 	盈	c=1 d=2.30153e-42 t=25120
ying 	硬	c=1 d=1.05052e-21 t=25120
ying 	英	c=2 d=4.27042e-20 t=25120
ying 	贏	c=3 d=1.03918e-11 t=25120
ying bang 	英鎊	c=4 d=0.0044601 t=25120
ying chao 	英超	c=10 d=7.0543e-12 t=25120
ying cu 	英粗	c=3 d=7.54065e-33 t=25120
ying di 	影帝	c=1 d=2.98086e-26 t=25120
ying gai 	應該	c=47 d=0.5741 t=25120
ying gai shi 	應該是	c=2 d=1.36102e-38 t=25120
ying ge lan 	英格蘭	c=2 d=0.000345758 t=25120
ying guang 	硬廣	c=2 d=2.84679e-14 t=25120
ying guo 	英國	c=3 d=0.00306094 t=25120
ying jia 	贏家	c=0 d=9.57432e-49 t=25120
ying jian 	硬件	c=4 d=0.0200413 t=25120
ying jie 	應屆	c=1 d=1.17775e-13 t=25120
ying jing 	應景	c=1 d=0.292293 t=25120
ying le 	贏了	c=3 d=1.37159 t=25120
ying pan 	硬盤	c=20 d=3.13381e-17 t=25120
ying pan he 	硬盤盒	c=1 d=1.30899e-50 t=25120
ying pan jia 	硬盤架	c=2 d=1.47445e-28 t=25120
ying pian 	影片	c=1 d=6.61578e-23 t=25120
ying shou 	營收	c=1 d=6.26813e-35 t=25120
ying wen 	英文	c=4 d=1.97746e-20 t=25120
ying xiang 	影響	c=4 d=2.54502e-19 t=25120
ying xiao 	營銷	c=2 d=6.26173e-23 t=25120
ying xiong 	英雄	c=0 d=9.36878e-29 t=25120
ying yan 	鷹眼	c=3 d=1.38201e-32 t=25120
ying ye ting 	營業廳	c=4 d=9.40029e-39 t=25120
ying yong 	應用	c=2 d=8.90125e-14 t=25120
ying you jin you 	應有盡有	c=1 d=1.54202e-07 t=25120
ying yue 	映月	c=0 d=3.76334e-34 t=25120
ying yue gu 	影月谷	c=1 d=3.80117e-33 t=25120
ying yue gu 	映月骨	c=1 d=3.78221e-33 t=25120
ying zu zong 	英足總	c=1 d=2.83935e-42 t=25120
yong 	勇	c=1 d=1.48307e-19 t=25120
yong 	永	c=1 d=2.77499e-37 t=25120
yong 	湧	c=1 d=1.1616e-27 t=25120
yong 	用	c=131 d=0.0229574 t=25120
yong bing 	傭兵	c=1 d=4.53275e-45 t=25120
yong cheng 	永城	c=0 d=8.75176e-51 t=25120
yong dao 	用到	c=1 d=5.19956e-42 t=25120
yong de zhao 	用得着	c=1 d=9.52201e-13 t=25120
yong guo 	用過	c=5 d=3.44013e-06 t=25120
yong heng 	永恆	c=0 d=1.97314e-26 t=25120
yong heng dao 	永恆島	c=1 d=1.98303e-25 t=25120
yong hu 	用戶	c=8 d=0.000130389 t=25120
yong lai 	用來	c=1 d=5.80731e-19 t=25120
yong li 	用力	c=1 d=2.10344e-42 t=25120
yong shi 	勇士	c=3 d=1.67113e-26 t=25120
yong tai 	永泰	c=1 d=1.06604e-17 t=25120
yong xin liang ku 	用心良苦	c=1 d=1.73916e-40 t=25120
yong yuan 	永遠	c=1 d=2.73516e-14 t=25120
you 	又	c=107 d=1.53767 t=25120
you 	友	c=4 d=6.99376e-19 t=25120
you 	有	c=319 d=2.04682 t=25120
you 	由	c=2 d=2.32513e-15 t=25120
you ben shu 	有本書	c=1 d=6.74461e-44 t=25120
you bian 	右邊	c=1 d=9.33316e-42 t=25120
you bing 	有病	c=5 d=7.3524e-25 t=25120
you cuo 	有錯	c=1 d=5.47657e-35 t=25120
you dian 	有點	c=2 d=4.795e-30 t=25120
you dian sha 	有點傻	c=1 d=7.52246e-34 t=25120
you du 	有毒	c=2 d=0.00431784 t=25120
you fen 	有份	c=1 d=2.42077e-48 t=25120
you feng xian 	有風險	c=1 d=5.96973e-20 t=25120
you fu ji 	有腹肌	c=1 d=5.66682e-25 t=25120
you ge 	有個	c=6 d=0.0900865 t=25120
you guan 	有關	c=3 d=5.62779e-24 t=25120
you gui 	有鬼	c=2 d=1.47362e-32 t=25120
you hao 	友好	c=1 d=6.00783e-36 t=25120
you hei 	黝黑	c=1 d=3.30176e-23 t=25120
you hua 	優化	c=1 d=1.60108e-08 t=25120
you hui 	優惠	c=0 d=7.68984e-50 t=25120
you hui ma 	優惠碼	c=3 d=8.76912e-50 t=25120
you ji 	右擊	c=3 d=4.73451e-20 t=25120
you ji 	郵寄	c=2 d=2.72764e-11 t=25120
you jian 	郵件	c=10 d=0.288016 t=25120
you jian lie biao 	郵件列表	c=1 d=4.92733e-27 t=25120
you jiao 	右腳	c=1 d=1.25727e-17 t=25120
you kong 	有空	c=2 d=9.84075e-18 t=25120
you ku 	優酷	c=2 d=5.47488e-53 t=25120
you li 	有利	c=2 d=0.235194 t=25120
you liang 	優良	c=1 d=5.85949e-36 t=25120
you liao 	油料	c=1 d=1.87009e-41 t=25120
you ling 	幽靈	c=0 d=1.1103e-26 t=25120
you ling hu 	幽靈虎	c=1 d=1.11586e-25 t=25120
you mao 	有冇	c=2 d=8.65611e-09 t=25120
you mao gao cuo 	有冇搞錯	c=1 d=0.0761538 t=25120
you mao ren 	有冇人	c=1 d=1.08791e-50 t=25120
you mei you 	有沒有	c=9 d=0.613104 t=25120
you mi 	有米	c=5 d=2.79526e-05 t=25120
you ni 	油膩	c=2 d=1.10856e-36 t=25120
you qian 	有錢	c=3 d=2.38976e-14 t=25120
you qiang 	有牆	c=2 d=0.00067217 t=25120
you ren 	友人	c=1 d=4.31857e-05 t=25120
you ren 	有人	c=15 d=0.00970805 t=25120
you sheng zhi nian 	有生之年	c=2 d=1.9312e-30 t=25120
you shi 	優勢	c=1 d=0.509156 t=25120
you shi 	又是	c=2 d=0.0347353 t=25120
you shi 	有時	c=2 d=1.74604e-49 t=25120
you shou 	右手	c=1 d=2.32308e-34 t=25120
you wen ti 	有問題	c=1 d=6.83025e-16 t=25120
you xi 	有戲	c=1 d=1.67701e-53 t=25120
you xi 	遊戲	c=26 d=1.59748e-07 t=25120
you xi li 	遊戲裏	c=1 d=5.05293e-29 t=25120
you xian 	優先	c=1 d=4.15136e-11 t=25120
you xian 	有線	c=2 d=2.24035e-11 t=25120
